views,date
285.84019,2015-11-17T00:00:00Z
285.742685,2015-11-18T00:00:00Z
290.707407,2015-11-19T00:00:00Z
279.494821,2015-11-20T00:00:00Z
265.257365,2015-11-21T00:00:00Z
287.187064,2015-11-22T00:00:00Z
296.73843,2015-11-23T00:00:00Z
291.015849,2015-11-24T00:00:00Z
277.74609,2015-11-25T00:00:00Z
273.56235,2015-11-26T00:00:00Z
265.316343,2015-11-27T00:00:00Z
270.001193,2015-11-28T00:00:00Z
286.31683,2015-11-29T00:00:00Z
299.239042,2015-11-30T00:00:00Z
292.104694,2015-12-01T00:00:00Z
291.268249,2015-12-02T00:00:00Z
284.829416,2015-12-03T00:00:00Z
280.25997,2015-12-04T00:00:00Z
261.321725,2015-12-05T00:00:00Z
284.166132,2015-12-06T00:00:00Z
305.591702,2015-12-07T00:00:00Z
298.981602,2015-12-08T00:00:00Z
294.528943,2015-12-09T00:00:00Z
288.164319,2015-12-10T00:00:00Z
283.18471,2015-12-11T00:00:00Z
259.204185,2015-12-12T00:00:00Z
288.988287,2015-12-13T00:00:00Z
303.919804,2015-12-14T00:00:00Z
292.996869,2015-12-15T00:00:00Z
280.420003,2015-12-16T00:00:00Z
273.632771,2015-12-17T00:00:00Z
265.359978,2015-12-18T00:00:00Z
256.322232,2015-12-19T00:00:00Z
271.949861,2015-12-20T00:00:00Z
284.654893,2015-12-21T00:00:00Z
272.056474,2015-12-22T00:00:00Z
261.159653,2015-12-23T00:00:00Z
248.994671,2015-12-24T00:00:00Z
236.567068,2015-12-25T00:00:00Z
263.403143,2015-12-26T00:00:00Z
272.364078,2015-12-27T00:00:00Z
283.363984,2015-12-28T00:00:00Z
288.157183,2015-12-29T00:00:00Z
279.005583,2015-12-30T00:00:00Z
260.395335,2015-12-31T00:00:00Z
269.391451,2016-01-01T00:00:00Z
292.923392,2016-01-02T00:00:00Z
299.49883,2016-01-03T00:00:00Z
305.898529,2016-01-04T00:00:00Z
300.297408,2016-01-05T00:00:00Z
300.678115,2016-01-06T00:00:00Z
304.713202,2016-01-07T00:00:00Z
288.970291,2016-01-08T00:00:00Z
284.898212,2016-01-09T00:00:00Z
308.79835,2016-01-10T00:00:00Z
342.803013,2016-01-11T00:00:00Z
317.057092,2016-01-12T00:00:00Z
308.944119,2016-01-13T00:00:00Z
304.444113,2016-01-14T00:00:00Z
288.739213,2016-01-15T00:00:00Z
277.562846,2016-01-16T00:00:00Z
299.010122,2016-01-17T00:00:00Z
312.077869,2016-01-18T00:00:00Z
310.6942,2016-01-19T00:00:00Z
302.330524,2016-01-20T00:00:00Z
299.256217,2016-01-21T00:00:00Z
293.855444,2016-01-22T00:00:00Z
284.11897,2016-01-23T00:00:00Z
308.509566,2016-01-24T00:00:00Z
319.189451,2016-01-25T00:00:00Z
306.248542,2016-01-26T00:00:00Z
311.78447,2016-01-27T00:00:00Z
305.429396,2016-01-28T00:00:00Z
292.860734,2016-01-29T00:00:00Z
280.442928,2016-01-30T00:00:00Z
309.442984,2016-01-31T00:00:00Z
318.417718,2016-02-01T00:00:00Z
308.080448,2016-02-02T00:00:00Z
306.236069,2016-02-03T00:00:00Z
298.205006,2016-02-04T00:00:00Z
288.291145,2016-02-05T00:00:00Z
278.458366,2016-02-06T00:00:00Z
